Date,Community,Filename,Caller,Chorus,Duration,Duration (B to L) ,Introduction present,Buildup present,Buildup E components,Buildup first half,Buildup second half,Buildup duration,Rate of buildup,Rate of first half,Rate of second half,Acceleration ,Buildup component chosen,Climax present,Climax components,Climax screams,Prop of screams,Durclx,Climax scream chosen,Letdown present,Letdown components,Drumming,Drumming duration,Drum beats,Rate of beats,Beats in climax,Beats after climax,Beats before climax,Non linearities,Time,Context,call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max,call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max,range
7/22/17,Kasekela,KSK012,FO,N,15.05,9.65,Y,Y,15,7,8,9.65,1.554404145,1.450777202,1.658031088,0.207253886,BE7,N,0,0,0,0,,N,0,Y,1.28,6,4.6875,,,6,NA,10:50,Display,KSK012_FO_BE7.lma,461.3391,0,no,282,235,305,188,264,5,52,0.08,0,33,76,94,235,6763,94,702,305,94,0.33,0,6669,0.25,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/17,Kasekela,KSK094_2,SL,Y,7.3,7.3,N,Y,17,8,8,7.3,2.328767123,2.191780822,2.191780822,0,BE14,N,0,0,0,0,,N,0,Y,1.29,6,4.651162791,0,0,6,NA,13:54,Resting,KSK094_SL_BE14.lma,250.6698,0,no,446,399,446,282,375,5,38,0,-0.01,29,100,94,399,446,94,337,352,446,0.4,0.11,352,0.3,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/17,Kasekela,KSK141,ZS,N,6.12,3.79,Y,Y,6,3,3,3.79,1.583113456,1.583113456,1.583113456,0,BE3,N,0,0,0,0,,N,0,Y,0.39,3,7.692307692,0,0,3,NA,10:37,Travel,KSK141_ZS_BE3.lma,456.0057,0,no,258,376,540,258,347,9,169,0.84,0.04,47,231,188,117,540,94,298,305,117,0.3,1,423,0.36,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/17,Kasekela,KSK171,SN,N,5.06,4.03,Y,Y,5,2,2,4.03,1.240694789,0.992555831,0.992555831,0,BE3,N,0,0,0,0,,N,0,N,,,,,,,NA,9:04,Feed,KSK171_SN_BE3.lma,586.674,0,no,164,188,258,141,209,3,52,0.68,0.02,21,101,94,188,6059,94,349,258,117,0.8,0.04,5894,0.35,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/17,Kasekela,KSK242,SL,N,6.59,6.04,Y,Y,14,6,8,6.04,2.317880795,1.986754967,2.649006623,0.662251656,BE4,N,0,0,0,0,,N,0,Y,2.5,13,5.2,0,0,13,NA,10:22,Travel,KSK242_SL_BE4.lma,336.0042,0,no,188,282,305,188,275,2,9,0.38,0.03,25,49,94,282,305,94,271,305,282,0.53,1,70,0.29,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/17,Kasekela,KSK243,SL,N,6.44,6.44,NA,Y,13,7,6,6.44,2.01863354,2.173913043,1.863354037,-0.310559006,BE7,N,0,0,0,0,,N,0,Y,1.78,8,4.494382022,0,0,8,NA,12:51,Display,KSK243_SL_BE7.lma,330.6708,0,no,211,188,517,188,348,29,202,0.15,0.03,97,204,94,94,1104,94,596,611,587,0.2,0.09,681,0.4,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/17,Kasekela,KSK274,ZS,N,7.74,5.42,Y,Y,10,5,5,5.42,1.84501845,1.84501845,1.84501845,0,BE5,N,0,0,0,0,,N,0,N,,,,,,,NA,9:00,Travel,KSK274_ZS_BE5.lma,317.3373,0,no,235,211,470,188,383,9,99,0.42,0.07,69,292,94,94,470,94,347,470,329,0.58,0.19,352,0.48,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/17,Kasekela,KSK281,ZS,N,7.78,4.02,Y,Y,7,3,4,4.02,1.741293532,1.492537313,1.990049751,0.497512438,BE4,N,0,0,0,0,,N,0,Y,0.62,5,8.064516129,0,0,5,N,7:51,Travel,KSK281_ZS_BE4.lma,298.6704,0,no,305,258,470,188,333,11,113,0.14,-0.02,65,164,869,681,869,235,589,681,681,0.26,1,470,0.39,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/17,Kasekela,MTB036,GIM,N,4.88,3.27,Y,Y,13,6,7,3.27,3.975535168,3.669724771,4.281345566,0.611620795,BE7,N,0,0,0,0,,N,0,N,,,,,,,NA,11:03,Resting,MTB036_GIM_BE7.lma,112.0014,0,no,376,517,517,211,372,29,94,0.95,0.14,77,132,1057,1198,1245,869,1136,1245,1198,0.24,1,376,0.35,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/17,Kasekela,MTB050,SN,N,3.52,3.52,N,Y,5,2,2,3.52,1.420454545,1.136363636,1.136363636,0,BE4,N,0,0,0,0,,N,0,N,,,,,,,NA,10:22,Travel,MTB050_SN_BE4.lma,400.005,0,no,258,211,517,188,230,9,132,0.02,-0.02,49,263,94,94,1033,94,214,164,399,0.13,0.95,751,0.4,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
