"","Community","Caller","calls","screams","buildups"
"1","Kanyawara","BB",8,8,6
"2","Kanyawara","ES",18,18,10
"3","Kanyawara","KK",21,21,20
"4","Kanyawara","LK",14,14,14
"5","Kanyawara","PG",10,10,6
"6","Kanyawara","ST",14,14,11
"7","Kanyawara","TJ",26,26,9
"8","Kasekela","FND",11,11,6
"9","Kasekela","FO",20,19,12
"10","Kasekela","FU",33,33,27
"11","Kasekela","SL",15,12,14
"12","Kasekela","SN",38,35,34
"13","Kasekela","ZS",11,8,7
"14","Mitumba","EDG",45,41,24
"15","Mitumba","FAN",8,8,3
"16","Mitumba","KOC",16,16,12
"17","Mitumba","LAM",9,9,5
"18","Mitumba","LON",8,8,6
